,2024/7/24,毎回データを　４行目以下に新規貼り付ける,,,
,IN,IN,IN,IN,IN
aoiName,Satname,observation_jst_time,offnadir_angl,looking_direction,flight_direction
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,35.642258,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/21 18:01,40.565566,Right,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/22 1:52,29.925704,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/22 1:55,38.991637,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/22 3:27,41.547607,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 4:47,42.364959,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 6:19,42.264208,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 6:19,37.581456,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 6:19,24.224786,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 6:20,26.172766,Right,Ascending
[AT] Railway_Mine_LSM2,StriX-3,2024/6/22 7:55,29.824596,Left,Ascending
[AT] Oita_Miyazaki_LSM2,StriX-3,2024/6/22 7:57,32.949022,Left,Ascending
[AT] AGRI_Ogata,StriX-3,2024/6/22 11:17,24.329204,Left,Ascending
[AT] Naka_Ryugasaki_LSM2,StriX-3,2024/6/22 12:49,37.31791,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 17:58,25.789225,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 17:58,36.624045,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 17:59,42.797738,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 18:00,36.117307,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 18:00,38.590308,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 18:00,36.691308,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 18:00,39.14592,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 18:00,38.007278,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 18:00,39.598115,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 18:00,36.877865,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/22 18:00,41.60575,Right,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/23 1:51,30.553877,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/23 1:54,38.164019,Left,Descending
[AT] AGRI_Ogata,StriX-3,2024/6/23 3:26,41.129579,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 4:46,43.243729,Left,Ascending
[AT] Ishikawa_Suzu_SM2,StriX-3,2024/6/23 6:17,15.382883,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 6:17,15.382883,Left,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 6:18,41.145684,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 6:18,36.259493,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 6:18,22.394657,Right,Ascending
[AT] Ishikawa_Nanao_SM2,StriX-3,2024/6/23 6:19,24.418837,Right,Ascending
